name,interactor,mean_abs_diff
GlcNAc-Ala,Ala,23.193463400263866
GlcNAc-Bta,Bta,21.478391782446835
GlcNAc-Cha,Cha,15.511818819437195
GlcNAc-His,His,18.17195376751236
GlcNAc-Ile,Ile,14.659051742559978
GlcNAc-Leu,Leu,22.44392574634167
GlcNAc-Met,Met,16.01910638793319
GlcNAc-Nal,Nal,12.915415331289438
GlcNAc-Phe,Phe,11.43787306600103
GlcNAc-Phe-Br,Phe-Br,20.19124750339777
GlcNAc-Phe-Cl,Phe-Cl,19.554984932136012
GlcNAc-Phe-CN,Phe-CN,25.957725860968008
GlcNAc-Phe-COOH,Phe-COOH,18.392268636126083
GlcNAc-Phe-F,Phe-F,15.97601267530413
GlcNAc-Phe-F3,Phe-F3,13.984708328798126
GlcNAc-Phe-F5,Phe-F5,17.972770685189534
GlcNAc-Phe-NH2,Phe-NH2,23.410315991616784
GlcNAc-Phe-NO2,Phe-NO2,21.44873283946599
GlcNAc-Phe-OMe,Phe-OMe,7.323296173775305
GlcNAc-Ser,Ser,19.858125641584614
GlcNAc-Thr,Thr,11.065387160323649
GlcNAc-Trp,Trp,24.191329194959277
GlcNAc-Trp-F,Trp-F,23.565229515939517
GlcNAc-Trp-OH,Trp-OH,23.685276423882765
GlcNAc-Trp-OMe,Trp-OMe,20.48822612748495
GlcNAc-Tyr,Tyr,15.434970729541233
GlcNAc-Val,Val,9.842582067791687
Gal-Ala,Ala,19.197039814433133
Gal-Bta,Bta,21.326544792978666
Gal-Cha,Cha,12.154468293411213
Gal-His,His,15.183122441553145
Gal-Ile,Ile,11.78674460092465
Gal-Leu,Leu,21.48473945650021
Gal-Met,Met,16.754163673361255
Gal-Nal,Nal,10.306595737106141
Gal-Phe,Phe,11.041658007623786
Gal-Phe-Br,Phe-Br,16.272432254043775
Gal-Phe-CN,Phe-CN,25.54555941800873
Gal-Phe-COOH,Phe-COOH,15.024330389397923
Gal-Phe-F,Phe-F,12.94130585359267
Gal-Phe-F5,Phe-F5,14.499082080689522
Gal-Phe-NH2,Phe-NH2,18.93666619798936
Gal-Phe-NO2,Phe-NO2,21.974469270912707
Gal-Phe-OMe,Phe-OMe,10.062376110128591
Gal-Ser,Ser,16.657360520086446
Gal-Thr,Thr,9.315937033893391
Gal-Trp,Trp,19.39466027762872
Gal-Trp-F,Trp-F,18.827105931005182
Gal-Trp-OH,Trp-OH,19.00428931821076
Gal-Trp-OMe,Trp-OMe,16.357492638623675
Gal-Tyr,Tyr,12.731797814368669
Gal-Val,Val,11.061611902217363
